CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
1,296.37,52.84,264.6,57.57,69.38,1.56,9755.0,31.03
1,363.45,52.84,242.13,57.57,69.38,1.56,9755.0,101.97
1,359.39,52.84,219.66,57.57,69.38,1.56,9755.0,61.55
0,328.08,52.84,165.33,74.85,23.32,1.56,9755.0,72.82
0,321.75,52.84,114.75,71.31,22.74,1.56,9755.0,128.53
2,304.72,52.84,257.25,84.61,67.87,1.56,16064.0,27.96
1,316.07,52.84,222.95,84.61,67.87,1.56,16064.0,93.85
1,273.76,52.84,188.64,84.61,67.87,1.56,16064.0,59.95
0,356.14,52.84,156.92,83.49,28.58,1.56,16064.0,71.51
0,353.76,52.84,91.2,59.31,24.37,1.56,16064.0,80.68
2,300.09,52.84,264.6,189.88,85.96,11.28,10079.0,71.46
2,311.23,52.84,214.68,189.88,85.96,11.28,10079.0,75.83
2,308.35,52.84,164.77,189.88,85.96,11.28,10079.0,40.02
1,301.28,55.93,165.33,100.11,37.82,11.28,10079.0,56.94
0,324.68,55.93,114.75,100.11,28.47,11.28,10079.0,30.0
1,280.02,55.93,257.25,25.96,65.56,1.56,8998.0,46.33
1,328.3,55.93,241.79,25.96,65.56,1.56,8998.0,57.57
1,328.94,55.93,226.34,25.96,65.56,1.56,8998.0,97.13
0,350.15,55.93,156.92,25.96,28.39,1.56,8998.0,36.29
0,287.03,55.93,91.2,25.96,25.01,1.56,8998.0,57.59
2,269.47,55.93,263.15,53.33,70.5,4.44,9742.0,4.81
1,311.8,55.93,240.56,53.33,70.5,4.44,9742.0,71.36
1,324.2,55.93,217.96,53.33,70.5,4.44,9742.0,25.2
0,322.16,55.93,170.73,68.6,23.11,4.44,9742.0,34.06
0,332.29,55.93,115.89,62.36,22.49,4.44,9742.0,39.17
2,313.35,55.93,265.73,84.94,68.84,4.44,16043.0,112.86
1,326.88,55.93,231.4,84.94,68.84,4.44,16043.0,8.17
1,304.07,55.93,197.07,84.94,68.84,4.44,16043.0,34.78
0,332.24,55.93,157.28,87.95,28.49,4.44,16043.0,26.79
0,327.85,55.93,92.38,59.86,24.17,4.44,16043.0,95.83
2,331.99,55.93,263.15,188.35,85.31,1.68,10079.0,68.51
2,339.8,55.93,213.03,188.35,85.31,1.68,10079.0,20.01
2,345.07,55.93,162.91,188.35,85.31,1.68,10079.0,87.72
1,342.74,57.14,170.73,98.98,37.17,1.68,10079.0,42.7
0,346.43,57.14,115.89,98.98,27.8,1.68,10079.0,39.45
1,316.73,57.14,265.73,21.01,66.53,4.44,8986.0,52.43
1,324.31,57.14,250.2,21.01,66.53,4.44,8986.0,46.07
1,368.43,57.14,234.66,21.01,66.53,4.44,8986.0,31.4
0,333.56,57.14,157.28,21.01,28.3,4.44,8986.0,64.03
0,332.48,57.14,92.38,21.01,25.76,4.44,8986.0,45.94
2,350.4,57.14,280.72,54.36,67.72,4.96,9769.0,68.98
1,345.49,57.14,257.83,54.36,67.72,4.96,9769.0,47.77
1,324.55,57.14,234.95,54.36,67.72,4.96,9769.0,97.49
0,355.22,57.14,174.68,70.47,22.51,4.96,9769.0,52.24
0,346.34,57.14,117.64,60.03,21.9,4.96,9769.0,47.5
2,334.1,57.14,264.32,82.12,66.04,4.96,16086.0,113.31
1,356.85,57.14,229.7,82.12,66.04,4.96,16086.0,95.49
1,384.56,57.14,195.08,82.12,66.04,4.96,16086.0,38.74
0,290.66,57.14,153.8,86.86,27.6,4.96,16086.0,64.23
0,323.69,57.14,93.58,51.58,23.47,4.96,16086.0,131.31
2,394.55,57.14,280.72,194.41,86.23,1.67,10093.0,70.56
2,288.2,57.14,230.16,194.41,86.23,1.67,10093.0,58.06
2,280.34,57.14,179.61,194.41,86.23,1.67,10093.0,37.56
1,316.89,48.55,174.68,99.7,37.71,1.67,10093.0,39.0
0,327.13,48.55,117.64,99.7,28.27,1.67,10093.0,61.48
1,295.72,48.55,264.32,21.93,63.92,4.96,9.01,105.42
1,383.52,48.55,248.62,21.93,63.92,4.96,9.01,57.97
