CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
831.96,312.79,58.19,179.61,193.47,86.23,1.67,10093,72.96
685.11,312.79,58.19,174.68,100.08,37.71,1.67,10093,71.22
618.64,312.79,58.19,117.64,100.08,28.27,1.67,10093,52.85
760.12,345.41,58.19,264.32,23.31,63.92,4.96,9.01,100.17
744.41,345.41,58.19,248.62,23.31,63.92,4.96,9.01,45.46
728.7,345.41,58.19,232.91,23.31,63.92,4.96,9.01,62.38
613.14,345.41,58.19,153.8,23.31,27.47,4.96,9.01,50.1
550.49,345.41,58.19,93.58,23.31,25.04,4.96,9.01,41.55
688.42,371.81,52.84,150.99,28.69,25.16,11.01,8976,89.41
622.19,344.02,52.84,87.9,28.69,22.92,11.01,8976,70.08
741.85,296.37,52.84,264.6,57.57,69.38,1.56,9755,31.03
719.5,363.45,52.84,242.13,57.57,69.38,1.56,9755,101.97
697.16,359.39,52.84,219.66,57.57,69.38,1.56,9755,61.55
624.91,328.08,52.84,165.33,74.85,23.32,1.56,9755,72.82
571.55,321.75,52.84,114.75,71.31,22.74,1.56,9755,128.53
773.47,304.72,52.84,257.25,84.61,67.87,1.56,16064,27.96
739.44,316.07,52.84,222.95,84.61,67.87,1.56,16064,93.85
705.4,273.76,52.84,188.64,84.61,67.87,1.56,16064,59.95
631.79,356.14,52.84,156.92,83.49,28.58,1.56,16064,71.51
541.47,353.76,52.84,91.2,59.31,24.37,1.56,16064,80.68
930.58,300.09,52.84,264.6,189.88,85.96,11.28,10079,71.46
880.74,311.23,52.84,214.68,189.88,85.96,11.28,10079,75.83
830.9,308.35,52.84,164.77,189.88,85.96,11.28,10079,40.02
698.07,301.28,55.93,165.33,100.11,37.82,11.28,10079,56.94
639.54,324.68,55.93,114.75,100.11,28.47,11.28,10079,30.0
710.54,280.02,55.93,257.25,25.96,65.56,1.56,8998,46.33
695.09,328.3,55.93,241.79,25.96,65.56,1.56,8998,57.57
679.64,328.94,55.93,226.34,25.96,65.56,1.56,8998,97.13
571.79,350.15,55.93,156.92,25.96,28.39,1.56,8998,36.29
507.13,287.03,55.93,91.2,25.96,25.01,1.56,8998,57.59
757.55,269.47,55.93,263.15,53.33,70.5,4.44,9742,4.81
735.14,311.8,55.93,240.56,53.33,70.5,4.44,9742,71.36
712.72,324.2,55.93,217.96,53.33,70.5,4.44,9742,25.2
637.19,322.16,55.93,170.73,68.6,23.11,4.44,9742,34.06
577.78,332.29,55.93,115.89,62.36,22.49,4.44,9742,39.17
788.83,313.35,55.93,265.73,84.94,68.84,4.44,16043,112.86
754.74,326.88,55.93,231.4,84.94,68.84,4.44,16043,8.17
720.65,304.07,55.93,197.07,84.94,68.84,4.44,16043,34.78
647.94,332.24,55.93,157.28,87.95,28.49,4.44,16043,26.79
556.39,327.85,55.93,92.38,59.86,24.17,4.44,16043,95.83
932.1,331.99,55.93,263.15,188.35,85.31,1.68,10079,68.51
882.09,339.8,55.93,213.03,188.35,85.31,1.68,10079,20.01
832.08,345.07,55.93,162.91,188.35,85.31,1.68,10079,87.72
698.58,342.74,57.14,170.73,98.98,37.17,1.68,10079,42.7
636.58,346.43,57.14,115.89,98.98,27.8,1.68,10079,39.45
720.65,316.73,57.14,265.73,21.01,66.53,4.44,8986,52.43
705.24,324.31,57.14,250.2,21.01,66.53,4.44,8986,46.07
689.84,368.43,57.14,234.66,21.01,66.53,4.44,8986,31.4
578.58,333.56,57.14,157.28,21.01,28.3,4.44,8986,64.03
516.59,332.48,57.14,92.38,21.01,25.76,4.44,8986,45.94
765.4,350.4,57.14,280.72,54.36,67.72,4.96,9769,68.98
742.94,345.49,57.14,257.83,54.36,67.72,4.96,9769,47.77
720.48,324.55,57.14,234.95,54.36,67.72,4.96,9769,97.49
643.89,355.22,57.14,174.68,70.47,22.51,4.96,9769,52.24
577.71,346.34,57.14,117.64,60.03,21.9,4.96,9769,47.5
790.11,334.1,57.14,264.32,82.12,66.04,4.96,16086,113.31
755.8,356.85,57.14,229.7,82.12,66.04,4.96,16086,95.49
721.49,384.56,57.14,195.08,82.12,66.04,4.96,16086,38.74
648.98,290.66,57.14,153.8,86.86,27.6,4.96,16086,64.23
549.58,323.69,57.14,93.58,51.58,23.47,4.96,16086,131.31
939.79,394.55,57.14,280.72,194.41,86.23,1.67,10093,70.56
889.67,288.2,57.14,230.16,194.41,86.23,1.67,10093,58.06
839.55,280.34,57.14,179.61,194.41,86.23,1.67,10093,37.56
699.31,316.89,48.55,174.68,99.7,37.71,1.67,10093,39.0
634.72,327.13,48.55,117.64,99.7,28.27,1.67,10093,61.48
734.25,295.72,48.55,264.32,21.93,63.92,4.96,9.01,105.42
718.81,383.52,48.55,248.62,21.93,63.92,4.96,9.01,57.97
